15:36:29.688 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Success validation for line "6-3,456-87"
15:36:29.689 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Line "6-3,456-87" was parsed to "[6, 3, 456, 87]"
15:36:29.689 [main] INFO  hololeenko.task1.validation.impl.ArraySizeValidationImpl - Size validation for array 
15:36:29.690 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[6, 3, 456, 87]" created
15:36:29.690 [main] INFO  hololeenko.task1.repository.impl.CustomArrayRepositoryImpl - Save array [6, 3, 456, 87] with ID 2 to the repository
15:36:29.690 [main] INFO  com.hololeenko.task1.main.Application - Array [6, 3, 456, 87] with ID 2 saved to the repository
15:36:29.690 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 176-28;95;
15:36:29.690 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Success validation for line "176-28;95;"
15:36:29.690 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Line "176-28;95;" was parsed to "[176, 28, 95]"
