15:47:21.933 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Success validation for line "134-1-34-12-2"
15:47:21.937 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Line "134-1-34-12-2" was parsed to "[134, 1, 34, 12, 2]"
15:47:21.937 [main] INFO  hololeenko.task1.validation.impl.ArraySizeValidationImpl - Size validation for array 
15:47:21.937 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
15:47:21.939 [main] INFO  hololeenko.task1.repository.impl.CustomArrayRepositoryImpl - Save array [134, 1, 34, 12, 2] with ID 1 to the repository
15:47:21.939 [main] INFO  com.hololeenko.task1.main.Application - Array [134, 1, 34, 12, 2] with ID 1 saved to the repository
15:47:21.942 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
15:47:21.942 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
15:47:21.943 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
