16:37:05.155 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
16:37:05.164 [main] INFO  hololeenko.task1.repository.impl.CustomArrayRepositoryImpl - Save array [134, 1, 34, 12, 2] with ID 1 to the repository
16:37:05.165 [main] INFO  com.hololeenko.task1.main.Application - Array [134, 1, 34, 12, 2] with ID 1 saved to the repository
16:37:05.165 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
16:37:05.165 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
16:37:05.165 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
16:37:05.165 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
16:37:05.165 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 427       846;8-2
16:37:05.165 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
16:37:05.166 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: -0-1 23_45
