14:48:13.642 [main] INFO  com.hololeenko.task1.main.Application - Array [134, 1, 34, 12, 2] with ID 1 saved to the repository
14:48:13.646 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
14:48:13.646 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
14:48:13.646 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
14:48:13.646 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
14:48:13.646 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 427       846;8-2
14:48:13.646 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
14:48:13.647 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: -0-1 23_45
14:48:13.647 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
14:48:13.647 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 6-3,456-87
