13:36:26.854 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Success validation for line "134-1-34-12-2"
13:36:26.857 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Line "134-1-34-12-2" was parsed to "[134, 1, 34, 12, 2]"
13:36:26.857 [main] INFO  hololeenko.task1.validation.impl.ArraySizeValidationImpl - Size validation for array 
13:36:26.857 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
13:36:26.858 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
13:36:26.858 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
13:36:26.858 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
13:36:26.858 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
13:36:26.858 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 427       846;8-2
13:36:26.858 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
