13:34:49.634 [main] INFO  hololeenko.task1.validation.impl.ArraySizeValidationImpl - Size validation for array 
13:34:49.637 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
13:34:49.637 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
13:34:49.637 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
13:34:49.637 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
13:34:49.637 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
13:34:49.637 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 427       846;8-2
13:34:49.638 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
13:34:49.638 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: -0-1 23_45
13:34:49.638 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
