22:48:33.830 [main] INFO  hololeenko.task1.service.impl.CalculationServiceImpl - The smallest element is found "28"
22:48:47.333 [main] INFO  hololeenko.task1.reader.impl.DataReaderImpl - Start reading file
22:48:47.334 [main] INFO  hololeenko.task1.reader.impl.DataReaderImpl - Successfully read file
22:48:47.336 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 134-1-34-12-2
22:48:47.336 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Success validation for line "134-1-34-12-2"
22:48:47.336 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Line "134-1-34-12-2" was parsed to "[134, 1, 34, 12, 2]"
22:48:47.336 [main] INFO  hololeenko.task1.validation.impl.ArraySizeValidationImpl - Size validation for "[134, 1, 34, 12, 2]" 
22:48:47.340 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
22:48:47.340 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
