21:23:33.191 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 134-1-34-12-2
21:23:33.194 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Success validation for line "134-1-34-12-2"
21:23:33.194 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - [134, 1, 34, 12, 2]
21:23:33.194 [main] INFO  hololeenko.task1.parser.impl.ArrayDataParserImpl - Line "134-1-34-12-2" was parsed to "[134, 1, 34, 12, 2]"
21:23:33.194 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
21:23:33.195 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
21:23:33.195 [main] INFO  com.hololeenko.task1.main.Application - Line "{}" isn't valid
21:23:33.195 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
21:23:33.195 [main] INFO  com.hololeenko.task1.main.Application - Line "{}" isn't valid
21:23:33.195 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 427       846;8-2
