22:52:02.232 [main] INFO  hololeenko.task1.validation.impl.ArraySizeValidationImpl - Size validation for "[134, 1, 34, 12, 2]" 
22:52:02.238 [main] INFO  hololeenko.task1.factory.impl.CustomArrayFactoryImpl - Array "[134, 1, 34, 12, 2]" created
22:52:02.239 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: ja12;12;387 98
22:52:02.239 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
22:52:02.239 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 
22:52:02.239 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
22:52:02.239 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: 427       846;8-2
22:52:02.239 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
22:52:02.239 [main] INFO  hololeenko.task1.validation.impl.LineValidationImpl - Line validation attempt: -0-1 23_45
22:52:02.239 [main] INFO  com.hololeenko.task1.main.Application - Line isn't valid
